Date,Client Name,Region,Product,Revenue,Raw Material Cost,Labor Cost,Overhead Cost,Operating Expenses,Depreciation,Amortization,Interest,Taxes,EBITDA,EBITDA Margin,Profit Margin
2024-01-01,"Weaver, Jones and Bush",East,Potato,28940,9073.88,6658.95,3086.6,18819.44,1946.09,906.71,1495.82,1442.99,10120.56,34.97,14.96
2024-01-01,Davidson-Scott,East,Soy,5271,2088.83,948.27,784.77,3821.87,404.42,164.23,231.67,162.2,1449.13,27.49,9.23
2024-01-02,Wilson-Irwin,South,Soy,5289,1676.41,1209.13,715.99,3601.53,319.24,174.64,285.08,227.13,1687.47,31.91,12.88
2024-01-02,Murphy Inc,West,Wheat,14368,5207.0,2479.72,2136.62,9823.35,838.42,448.75,502.48,688.75,4544.65,31.63,14.38
2024-01-02,"Holmes, Huynh and Wilson",North,Potato,34714,11095.2,7757.96,4600.99,23454.16,2228.61,1375.05,2040.66,1403.88,11259.84,32.44,12.13
2024-01-02,"Weaver, Small and Tran",South,Potato,43195,15926.79,6513.27,4445.57,26885.62,2411.74,1341.46,2329.09,2556.77,16309.38,37.76,17.76
2024-01-02,Mccarthy-Cooper,North,Wheat,40639,16210.27,9925.77,5609.68,31745.72,2373.87,1244.73,2254.85,754.96,8893.28,21.88,5.57
2024-01-02,Wallace-Wright,West,Soy,18060,5683.98,4162.66,1812.93,11659.57,927.12,640.31,976.08,964.23,6400.43,35.44,16.02
2024-01-02,Weber Ltd,East,Wheat,38633,14781.75,8041.65,5773.3,28596.7,3021.23,1372.36,1295.63,1086.77,10036.3,25.98,8.44
2024-01-02,Murphy Inc,East,Corn,27907,11021.44,4904.32,3925.6,19851.35,1619.67,672.38,1466.06,1074.38,8055.65,28.87,11.55
2024-01-02,Miller-Mitchell,West,Soy,13330,4099.25,2308.81,1948.85,8356.91,813.15,385.01,479.94,823.75,4973.09,37.31,18.54
2024-01-02,Cantu-Cox,West,Potato,9110,3179.81,1448.85,1097.63,5726.29,707.74,227.33,503.48,486.29,3383.71,37.14,16.01
2024-01-02,Trujillo LLC,North,Soy,32742,12694.21,5677.75,4219.41,22591.37,2153.65,803.65,1297.27,1474.01,10150.63,31.0,13.51
2024-01-02,Richards-Velez,South,Potato,29804,11460.67,5295.84,3966.54,20723.05,1980.55,884.4,1463.72,1188.07,9080.95,30.47,11.96
2024-01-02,Smith PLC,South,Potato,15584,6201.92,3624.83,1592.84,11419.59,1188.11,620.54,527.57,457.05,4164.41,26.72,8.8
2024-01-02,Wilson-Irwin,North,Wheat,36102,11175.8,7550.66,4510.87,23237.34,2590.09,1136.28,1705.83,1858.11,12864.66,35.63,15.44
2024-01-02,"Coleman, Davis and Cook",East,Wheat,30091,10800.16,5461.33,4139.44,20400.93,1741.05,1156.31,1609.79,1295.73,9690.07,32.2,12.92
2024-01-02,Mccoy and Sons,South,Corn,14732,4495.69,2849.49,2168.86,9514.05,946.68,570.1,613.42,771.94,5217.95,35.42,15.72
2024-01-02,Lopez Inc,West,Wheat,39022,13734.83,8641.85,5361.13,27737.81,2996.26,884.48,2101.86,1325.4,11284.19,28.92,10.19
2024-01-02,Campbell PLC,East,Potato,46528,14152.98,8086.42,5431.26,27670.66,2380.12,1763.81,2071.27,3160.53,18857.34,40.53,20.38
2024-01-02,"Bell, Moore and Hill",East,Corn,34100,11762.5,7295.53,3639.96,22697.99,2722.85,1195.38,1378.67,1526.28,11402.01,33.44,13.43
2024-01-02,Wilson-Irwin,South,Potato,12534,3840.75,2220.75,1597.05,7658.55,858.38,309.1,651.93,764.01,4875.45,38.9,18.29
2024-01-02,Dixon PLC,South,Soy,13820,5388.15,2156.62,1841.33,9386.1,1084.13,407.79,522.48,604.87,4433.9,32.08,13.13
2024-01-02,Allen-Dyer,West,Corn,39633,13850.06,6628.1,5258.64,25736.8,2388.74,1012.93,2353.83,2035.17,13896.2,35.06,15.41
2024-01-02,"Weaver, Jones and Bush",East,Soy,39925,14578.19,6020.26,4594.48,25192.93,2630.86,1352.1,1813.87,2233.81,14732.07,36.9,16.79
2024-01-02,"Coleman, Davis and Cook",North,Potato,20764,7602.11,4915.49,2574.22,15091.81,1322.93,565.17,1104.78,669.83,5672.19,27.32,9.68
2024-01-02,Kidd and Sons,South,Wheat,42449,13074.51,7943.81,6151.47,27169.78,3169.08,1092.23,2240.03,2194.47,15279.22,35.99,15.51
2024-01-02,"Stevens, Terry and Hahn",West,Potato,44015,15403.86,9981.32,6260.23,31645.41,2760.23,1353.78,1335.5,1730.02,12369.59,28.1,11.79
2024-01-02,"Weaver, Jones and Bush",East,Wheat,37773,13209.96,8262.32,5503.5,26975.78,2204.25,803.17,1646.46,1535.84,10797.22,28.58,12.2
2024-01-02,"Stone, Adkins and Reyes",South,Potato,6526,2386.8,1075.17,689.6,4151.56,392.44,219.63,207.08,388.82,2374.44,36.38,17.87
2024-01-03,"Hernandez, Powers and Espinoza",West,Potato,17991,6378.55,4388.29,2470.1,13236.95,1333.57,439.32,718.09,565.77,4754.05,26.42,9.43
2024-01-03,Smith PLC,East,Corn,12187,4141.67,2537.45,1225.52,7904.64,864.27,260.98,708.94,612.04,4282.36,35.14,15.07
2024-01-03,Allen-Dyer,West,Corn,5491,1809.37,1025.14,778.72,3613.22,310.71,149.11,278.47,284.87,1877.78,34.2,15.56
2024-01-03,Brown Inc,South,Potato,47558,15933.28,11056.62,6451.29,33441.19,2510.13,1630.53,2717.1,1814.76,14116.81,29.68,11.45
2024-01-03,"Holmes, Huynh and Wilson",North,Wheat,27638,8674.34,4273.31,2928.11,15875.76,2111.9,819.42,1613.41,1804.38,11762.24,42.56,19.59
2024-01-03,Brown Inc,West,Potato,29717,8984.32,7244.25,3188.83,19417.41,2144.08,762.19,1286.8,1526.63,10299.59,34.66,15.41
2024-01-03,Young-Taylor,West,Corn,40908,13765.91,8667.6,5479.22,27912.73,2869.18,1121.22,2127.68,1719.29,12995.27,31.77,12.61
2024-01-03,Miller-Mitchell,South,Potato,44357,13729.66,10954.2,4588.32,29272.17,2941.77,1327.78,1931.08,2221.05,15084.83,34.01,15.02
2024-01-03,Mccoy and Sons,South,Potato,23357,7212.13,4482.5,2888.61,14583.24,1591.48,507.2,1366.02,1327.27,8773.76,37.56,17.05
2024-01-03,Brown Inc,North,Wheat,37007,12785.77,6673.52,3928.45,23387.74,2164.35,783.82,2060.5,2152.65,13619.26,36.8,17.45
2024-01-03,Myers-Harmon,North,Corn,44470,14723.87,8102.38,6014.74,28840.99,2490.38,1192.29,2563.23,2345.78,15629.01,35.15,15.82
2024-01-03,Graham-Simon,West,Wheat,9027,3162.63,1559.1,950.93,5672.67,624.04,278.09,362.33,522.47,3354.33,37.16,17.36
2024-01-03,Myers-Harmon,South,Potato,45084,16569.49,9070.21,5814.02,31453.72,3251.98,1087.8,1557.11,1933.35,13630.28,30.23,12.86
2024-01-03,"Stevens, Terry and Hahn",East,Wheat,17996,5892.16,3187.88,1808.93,10888.97,1059.21,503.85,723.81,1205.04,7107.03,39.49,20.09
2024-01-03,Wilson-Irwin,South,Wheat,8211,2990.91,1870.47,1210.6,6071.97,474.22,277.48,312.51,268.71,2139.03,26.05,9.82
2024-01-03,"Johnson, Robinson and Rodriguez",West,Soy,9962,3644.32,1558.86,1004.06,6207.24,726.75,245.54,404.87,594.4,3754.76,37.69,17.9
2024-01-03,Young-Taylor,West,Wheat,11509,3494.66,2287.65,1279.49,7061.8,845.59,409.29,498.82,673.37,4447.2,38.64,17.55
2024-01-03,"Morgan, Carlson and Wright",East,Potato,40033,15886.61,8306.49,4310.51,28503.61,2523.58,1386.8,1585.59,1508.35,11529.39,28.8,11.3
2024-01-03,Richards-Velez,North,Soy,40122,13380.32,9352.43,4563.36,27296.11,3209.49,896.18,1339.01,1845.3,12825.89,31.97,13.8
2024-01-03,"Morgan, Carlson and Wright",East,Soy,39976,15122.77,9554.83,5086.73,29764.33,2431.81,864.56,2070.66,1211.16,10211.67,25.54,9.09
2024-01-03,Bartlett PLC,East,Soy,24321,8565.63,5089.64,2966.7,16621.98,1526.16,865.85,992.61,1078.6,7699.02,31.66,13.3
2024-01-03,Kidd and Sons,East,Corn,32836,11418.82,8203.82,3402.73,23025.37,1870.01,919.57,1289.22,1432.96,9810.63,29.88,13.09
2024-01-03,"Glenn, Chandler and Ward",South,Wheat,21155,7747.81,4365.65,2117.31,14230.77,1675.16,626.88,684.76,984.36,6924.23,32.73,13.96
2024-01-03,Young-Taylor,West,Wheat,16428,5393.19,2467.72,2283.66,10144.56,1099.17,379.56,690.83,1028.47,6283.44,38.25,18.78
2024-01-03,Hunt-Coleman,North,Potato,36424,12929.72,8990.97,5061.65,26982.33,2118.68,1388.9,2074.89,964.8,9441.67,25.92,7.95
2024-01-03,Hunt-Coleman,West,Potato,17007,6487.43,3179.1,2451.28,12117.81,1087.8,386.23,1011.4,600.94,4889.19,28.75,10.6
2024-01-03,Huynh and Sons,South,Soy,9148,3163.49,2222.73,1195.58,6581.8,497.95,194.16,327.35,386.68,2566.2,28.05,12.68
2024-01-03,"Pearson, Miller and Knight",West,Potato,11227,3851.69,1855.06,1335.03,7041.77,610.17,302.71,356.46,728.97,4185.23,37.28,19.48
2024-01-03,Kidd and Sons,East,Potato,19521,7004.53,3224.39,2726.7,12955.63,1498.95,685.17,595.0,946.56,6565.37,33.63,14.55
2024-01-03,Hunt-Coleman,South,Soy,29914,10410.39,5826.11,3959.81,20196.31,2196.82,1146.79,1452.64,1230.36,9717.69,32.49,12.34
2024-01-03,Young-Taylor,East,Soy,41700,14744.25,7822.77,5049.25,27616.27,2239.92,1525.44,2245.57,2018.2,14083.73,33.77,14.52
2024-01-04,Dixon PLC,South,Wheat,24125,8542.65,4432.9,3157.97,16133.52,1399.78,784.68,1201.42,1151.4,7991.48,33.13,14.32
2024-01-04,Campbell PLC,North,Corn,35653,11858.54,8080.55,4818.34,24757.43,1795.98,781.48,1427.51,1722.65,10895.57,30.56,14.5
2024-01-04,Allen-Dyer,East,Potato,10599,3742.34,2009.64,1419.14,7171.13,567.67,372.56,332.5,538.79,3427.87,32.34,15.25
2024-01-04,Murphy Inc,East,Soy,28728,11150.34,6950.43,3011.36,21112.12,1785.64,902.41,1716.51,802.83,7615.88,26.51,8.38
2024-01-04,Allen-Dyer,East,Corn,14701,5137.08,2680.21,1624.22,9441.51,1071.71,361.5,674.17,788.03,5259.49,35.78,16.08
2024-01-04,"Weaver, Jones and Bush",South,Wheat,7498,2297.59,1519.48,1121.62,4938.69,502.59,235.61,252.85,392.06,2559.31,34.13,15.69
2024-01-04,Crawford Inc,East,Potato,24834,9172.39,4402.43,3408.19,16983.01,1541.76,597.47,1031.72,1170.01,7850.99,31.61,14.13
2024-01-04,Richards-Velez,East,Corn,46413,16029.08,8013.89,5740.69,29783.67,3505.37,1014.39,1447.02,2665.64,16629.33,35.83,17.23
2024-01-04,Wheeler Group,North,Potato,8496,3199.1,1827.6,1163.72,6190.42,579.57,272.43,441.68,252.97,2305.58,27.14,8.93
2024-01-04,Allen-Dyer,North,Potato,31706,10573.66,7685.76,4738.52,22997.95,2025.57,825.65,991.61,1216.31,8708.05,27.47,11.51
2024-01-04,Smith PLC,South,Soy,31076,12112.93,7479.07,3772.06,23364.05,1674.33,1018.46,1700.6,829.64,7711.95,24.82,8.01
2024-01-04,"Gibbs, Nelson and Fuller",East,Corn,16405,6419.33,3686.84,2091.38,12197.54,960.16,435.47,796.03,503.95,4207.46,25.65,9.22
2024-01-04,Velazquez-Gonzales,West,Potato,48436,17441.06,11095.43,5034.38,33570.87,3496.16,1132.9,2799.95,1859.03,14865.13,30.69,11.51
2024-01-04,Gibson LLC,South,Soy,22900,9046.17,3662.36,2895.85,15604.38,1569.54,641.42,1143.66,985.25,7295.62,31.86,12.91
2024-01-04,"Holmes, Huynh and Wilson",East,Corn,41412,12955.77,6410.0,4395.94,23761.7,2257.46,851.25,2475.15,3016.61,17650.3,42.62,21.85
2024-01-04,Gibson LLC,South,Corn,20160,7182.42,4072.39,2225.48,13480.29,1384.17,776.25,845.85,918.36,6679.71,33.13,13.67
2024-01-04,Gibson LLC,West,Corn,39948,14075.14,7694.2,5470.7,27240.04,2586.82,810.48,1619.1,1922.89,12707.96,31.81,14.44
2024-01-04,Crawford Inc,East,Potato,31903,12696.57,5043.74,3908.25,21648.55,2197.2,990.5,1812.94,1313.45,10254.45,32.14,12.35
2024-01-04,"Weaver, Small and Tran",East,Potato,46026,16599.4,7424.43,5175.93,29199.76,2826.88,1136.33,1508.5,2838.63,16826.24,36.56,18.5
2024-01-04,Graham-Simon,East,Potato,36153,12513.21,6396.04,3926.52,22835.78,2177.04,1395.82,1801.12,1985.81,13317.22,36.84,16.48
2024-01-04,Murphy Inc,South,Wheat,48902,18192.26,7724.33,6873.41,32790.0,3906.34,1929.16,2144.63,2032.97,16112.0,32.95,12.47
2024-01-04,Rice-Smith,North,Soy,39199,12659.15,5985.82,4732.37,23377.34,2609.95,1315.73,1633.77,2565.55,15821.66,40.36,19.63
2024-01-04,Welch PLC,North,Corn,39007,13080.7,7331.52,4824.74,25236.96,3115.51,941.44,1720.8,1998.07,13770.04,35.3,15.37
2024-01-04,Lopez Inc,North,Corn,23844,7392.07,3671.49,3386.01,14449.57,1427.9,731.77,1270.11,1491.16,9394.43,39.4,18.76
2024-01-04,"Bell, Moore and Hill",North,Corn,45130,17872.27,9527.24,4936.42,32335.93,3106.18,1484.28,1634.68,1642.23,12794.07,28.35,10.92
2024-01-04,Allen-Dyer,West,Wheat,37356,14305.65,5912.13,5229.02,25446.8,2178.1,1451.35,1585.23,1673.63,11909.2,31.88,13.44
2024-01-04,Richards-Velez,East,Corn,11087,4405.69,1681.53,1394.9,7482.12,846.41,384.56,597.39,444.13,3604.88,32.51,12.02
2024-01-04,"Weaver, Jones and Bush",North,Corn,43697,16879.38,10393.22,6119.54,33392.14,3278.1,1228.04,2232.02,891.68,10304.86,23.58,6.12
2024-01-04,Huerta Inc,East,Wheat,42710,16335.17,8488.06,4695.23,29518.47,2228.08,1649.34,1736.49,1894.41,13191.53,30.89,13.31
2024-01-04,Lopez Inc,West,Wheat,15527,5342.19,2874.64,2073.63,10290.46,996.07,359.07,741.8,784.9,5236.54,33.73,15.17
2024-01-04,Wallace-Wright,South,Corn,29928,11014.5,7345.49,4348.0,22707.98,1928.68,707.85,1774.83,702.16,7220.02,24.12,7.04
2024-01-04,Young-Taylor,East,Potato,48835,14941.77,9788.08,6001.55,30731.39,2945.19,1789.58,2722.57,2661.57,18103.61,37.07,16.35
2024-01-05,"Johnson, Robinson and Rodriguez",South,Wheat,23371,8649.96,5159.78,2951.7,16761.43,1323.42,916.03,863.7,876.61,6609.57,28.28,11.25
2024-01-05,Dixon PLC,West,Soy,45005,15053.69,9256.61,6029.41,30339.71,2856.26,1445.07,1984.15,2094.95,14665.29,32.59,13.96
2024-01-05,"Johnson, Robinson and Rodriguez",East,Potato,11670,3712.68,2217.75,1315.33,7245.76,694.22,422.63,576.64,682.69,4424.24,37.91,17.55
2024-01-05,Davidson-Scott,West,Soy,41673,13474.86,6749.43,5548.14,25772.43,3058.09,1282.91,1542.62,2504.24,15900.57,38.16,18.03
2024-01-05,Velazquez-Gonzales,East,Wheat,29018,9770.02,7174.83,4003.64,20948.49,1670.81,831.62,1543.97,1005.78,8069.51,27.81,10.4
2024-01-05,"Gibbs, Nelson and Fuller",North,Corn,17254,5512.96,2898.99,2581.54,10993.48,1039.32,355.93,916.18,987.27,6260.52,36.28,17.17
2024-01-05,"Morgan, Carlson and Wright",West,Potato,28223,9711.04,5083.56,3198.67,17993.26,2254.11,727.27,1660.16,1397.05,10229.74,36.25,14.85
2024-01-05,"Stone, Adkins and Reyes",East,Potato,8314,2874.98,1599.08,859.54,5333.6,498.78,237.79,341.68,475.54,2980.4,35.85,17.16
2024-01-05,Miller-Mitchell,East,Potato,12472,4753.3,3067.79,1855.47,9676.56,809.02,386.38,564.9,258.79,2795.44,22.41,6.22
2024-01-05,Allen-Dyer,North,Soy,49839,19357.79,10346.08,5495.11,35198.98,3045.81,1806.53,2419.39,1842.07,14640.02,29.37,11.09
2024-01-05,Hunt-Coleman,West,Soy,14723,5117.39,3352.78,2167.53,10637.7,866.62,492.37,702.47,505.96,4085.3,27.75,10.31
2024-01-05,Huerta Inc,West,Soy,10750,4068.61,2415.64,1429.83,7914.08,572.02,304.92,541.12,354.47,2835.92,26.38,9.89
2024-01-05,"Gibbs, Nelson and Fuller",East,Wheat,9524,3173.59,1555.44,1033.49,5762.51,664.88,220.12,379.48,624.25,3761.49,39.49,19.66
2024-01-05,Mccarthy-Cooper,South,Corn,41641,15708.32,6764.1,4630.88,27103.31,2600.25,1087.55,2211.57,2159.58,14537.69,34.91,15.56
2024-01-05,"Johnson, Robinson and Rodriguez",North,Soy,38125,13551.25,8538.64,4510.03,26599.92,2902.54,1252.05,2003.75,1341.68,11525.08,30.23,10.56
2024-01-05,Dixon PLC,North,Soy,45610,14591.31,10241.12,6619.46,31451.88,2788.11,1097.57,1575.52,2174.23,14158.12,31.04,14.3
2024-01-05,Gibson LLC,North,Potato,18564,6962.38,4126.17,2147.98,13236.53,1366.04,672.76,898.17,597.62,5327.47,28.7,9.66
2024-01-05,Crawford Inc,North,Potato,44831,15946.1,9837.44,4618.08,30401.62,2482.64,1700.43,1431.85,2203.61,14429.38,32.19,14.75
2024-01-05,"Johnson, Robinson and Rodriguez",South,Potato,18515,5889.62,3888.85,1956.76,11735.22,1035.05,485.18,799.69,1114.96,6779.78,36.62,18.07
2024-01-05,"Pearson, Miller and Knight",East,Soy,46118,16310.26,7886.9,6160.49,30357.64,2759.69,1517.6,2303.65,2294.85,15760.36,34.17,14.93
2024-01-05,"Stevens, Terry and Hahn",South,Soy,33737,13348.76,5976.02,3438.9,22763.68,2445.33,759.27,1742.08,1506.66,10973.32,32.53,13.4
2024-01-05,Wallace-Wright,East,Corn,39032,14246.36,8330.57,4613.66,27190.58,2614.31,1367.66,2144.58,1428.72,11841.42,30.34,10.98
2024-01-05,Campbell PLC,South,Soy,46991,14123.7,10686.73,6313.4,31123.84,2579.38,1603.11,1877.19,2451.87,15867.16,33.77,15.65
2024-01-05,Wallace-Wright,West,Potato,5163,1989.88,1150.7,698.73,3839.32,390.79,151.52,176.96,151.1,1323.68,25.64,8.78
2024-01-05,Davis LLC,West,Wheat,48417,17153.12,12071.12,5923.82,35148.06,3817.15,1213.66,2801.94,1359.05,13268.94,27.41,8.42
2024-01-05,Wheeler Group,East,Soy,43880,16124.08,7703.71,4630.8,28458.59,2813.02,1033.36,1869.8,2426.31,15421.41,35.14,16.59
2024-01-05,Cantu-Cox,East,Potato,41703,14901.25,10106.35,4602.21,29609.81,2712.51,1471.11,1461.81,1611.94,12093.19,29.0,11.6
2024-01-05,"Bell, Moore and Hill",North,Corn,24699,9022.51,5709.03,3481.07,18212.6,1638.51,524.91,1428.15,723.71,6486.4,26.26,8.79
2024-01-05,Smith-Stokes,South,Soy,26446,9196.87,4041.12,3195.32,16433.31,2041.39,590.53,1269.49,1527.82,10012.69,37.86,17.33
2024-01-05,"Holmes, Huynh and Wilson",West,Corn,41866,12720.1,6711.09,6134.38,25565.57,2367.55,959.28,1846.9,2781.68,16300.43,38.93,19.93
2024-01-05,"Hernandez, Powers and Espinoza",West,Potato,32658,10578.75,8067.21,4030.58,22676.55,2355.07,1227.53,1946.47,1113.09,9981.45,30.56,10.23
2024-01-05,"Weaver, Jones and Bush",South,Wheat,28506,9391.33,6974.23,3869.53,20235.09,1660.55,813.27,1495.0,1075.52,8270.91,29.01,11.32
2024-01-05,Hunt-Coleman,West,Wheat,32184,9901.95,7407.74,3328.68,20638.37,1941.31,734.68,972.79,1974.21,11545.63,35.87,18.4
2024-01-05,Hunt-Coleman,South,Soy,49257,17488.74,11878.78,6170.9,35538.42,3515.93,1865.09,2645.71,1422.96,13718.58,27.85,8.67
2024-01-05,Bartlett PLC,South,Soy,25390,10010.48,3853.94,2652.58,16517.0,1414.61,672.59,1169.27,1404.13,8873.0,34.95,16.59
2024-01-06,"Bell, Moore and Hill",South,Potato,42767,15694.59,9313.6,5017.27,30025.46,2360.77,1375.85,1430.28,1893.66,12741.54,29.79,13.28
2024-01-06,Miller-Mitchell,North,Potato,14498,5110.71,2397.68,2050.47,9558.85,1049.69,446.28,653.84,697.33,4939.15,34.07,14.43
2024-01-06,"Gibbs, Nelson and Fuller",East,Wheat,16964,5850.06,4197.87,2282.96,12330.89,1346.29,447.99,872.32,491.63,4633.11,27.31,8.69
2024-01-06,Weber Ltd,West,Soy,9750,3894.36,2000.35,1119.95,7014.66,672.65,232.61,426.14,350.98,2735.34,28.05,10.8
2024-01-06,Wilson-Irwin,West,Wheat,7723,2590.44,1785.89,1085.09,5461.43,435.83,178.76,312.58,333.6,2261.57,29.28,12.96
2024-01-06,Brown Inc,North,Soy,33655,11215.29,7207.73,4975.32,23398.33,2393.69,1301.61,2007.46,1138.48,10256.67,30.48,10.15
2024-01-06,Kidd and Sons,South,Potato,47409,14732.85,7453.99,4976.37,27163.21,2841.87,1052.47,2316.02,3508.86,20245.79,42.7,22.2
2024-01-06,Davis LLC,West,Potato,33742,11669.93,7526.41,3813.51,23009.86,1743.78,749.57,1888.14,1587.66,10732.14,31.81,14.12
2024-01-06,"Stevens, Terry and Hahn",North,Wheat,20366,7612.53,3069.21,3040.69,13722.43,1266.35,751.94,920.92,926.09,6643.57,32.62,13.64
2024-01-06,Campbell PLC,East,Soy,44729,16924.67,10683.94,5014.54,32623.15,2897.82,1782.98,1922.77,1375.57,12105.85,27.06,9.23
2024-01-06,Gibson LLC,East,Potato,7180,2809.65,1192.77,857.27,4859.7,436.96,207.07,293.74,345.63,2320.3,32.32,14.44
2024-01-06,Brown Inc,South,Corn,47521,18642.43,11136.73,6260.19,36039.35,3505.4,1297.17,1999.37,1169.93,11481.65,24.16,7.39
2024-01-06,"Stevens, Terry and Hahn",North,Potato,7972,2954.26,1523.74,1122.1,5600.1,476.62,229.91,442.41,305.74,2371.9,29.75,11.51
2024-01-06,Kidd and Sons,South,Wheat,46191,14125.27,10651.54,5883.12,30659.93,2340.62,1402.07,1467.91,2580.12,15531.07,33.62,16.76
2024-01-06,Lopez Inc,South,Wheat,49259,15536.55,10369.3,5012.16,30918.01,2746.05,1911.2,1553.01,3032.68,18340.99,37.23,18.47
2024-01-06,"Gibbs, Nelson and Fuller",East,Potato,41514,16513.52,6547.7,6060.02,29121.24,2842.64,1230.13,1415.66,1726.08,12392.76,29.85,12.47
2024-01-06,"Coleman, Davis and Cook",East,Corn,35554,10844.16,5622.74,4942.04,21408.94,2096.53,1027.45,1969.18,2262.97,14145.06,39.78,19.09
2024-01-06,"Weaver, Jones and Bush",North,Wheat,35062,13409.78,7509.78,4413.35,25332.91,2637.02,748.13,1156.32,1296.9,9729.09,27.75,11.1
2024-01-06,Velazquez-Gonzales,North,Soy,26053,9623.03,4789.76,3161.72,17574.5,1870.2,770.23,1404.39,1108.42,8478.5,32.54,12.76
2024-01-06,"Morgan, Carlson and Wright",North,Corn,9658,3834.13,2144.3,1355.09,7333.53,688.44,372.31,529.42,183.57,2324.47,24.07,5.7
2024-01-06,"Gibbs, Nelson and Fuller",East,Soy,28345,9705.28,4985.15,4144.97,18835.39,2226.95,906.15,945.96,1357.64,9509.61,33.55,14.37
2024-01-06,"Hernandez, Powers and Espinoza",South,Corn,11550,4551.71,1882.2,1271.31,7705.22,913.54,278.66,410.56,560.51,3844.78,33.29,14.56
2024-01-06,Trujillo LLC,South,Wheat,24332,8298.87,4571.89,3161.89,16032.65,1742.74,856.65,735.55,1241.11,8299.35,34.11,15.3
2024-01-06,"Morgan, Carlson and Wright",South,Soy,21950,7410.23,5209.18,3051.78,15671.2,1147.15,465.26,802.24,966.04,6278.8,28.61,13.2
2024-01-06,Rice LLC,North,Corn,28029,9951.34,5290.24,3841.86,19083.44,1948.41,840.41,973.9,1295.71,8945.56,31.92,13.87
2024-01-06,Mccarthy-Cooper,East,Wheat,24622,7704.43,5490.47,2693.73,15888.62,1425.34,959.53,1293.29,1263.8,8733.38,35.47,15.4
2024-01-06,Velazquez-Gonzales,West,Wheat,15051,5011.67,3128.63,1673.2,9813.5,1165.18,335.5,895.64,710.3,5237.5,34.8,14.16
2024-01-06,Rice LLC,North,Corn,41917,13266.59,10061.73,5777.01,29105.33,2259.96,1067.65,1513.59,1992.62,12811.67,30.56,14.26
2024-01-06,"Glenn, Chandler and Ward",East,Soy,17445,5873.0,3998.03,2150.64,12021.67,1290.42,495.62,993.25,661.01,5423.33,31.09,11.37
2024-01-06,Wilson-Irwin,South,Corn,39863,14030.39,6757.34,4301.02,25088.75,2121.61,1333.73,1610.73,2427.05,14774.25,37.06,18.27
2024-01-06,Mccarthy-Cooper,East,Soy,33219,12692.38,5651.81,4069.9,22414.09,1961.57,1094.16,1344.57,1601.15,10804.91,32.53,14.46
2024-01-06,Wilson-Irwin,East,Corn,12204,3969.19,1983.24,1256.32,7208.74,840.6,376.26,654.43,780.99,4995.26,40.93,19.2
2024-01-06,"Stevens, Terry and Hahn",East,Potato,38150,11890.56,9217.03,5139.81,26247.39,2481.26,1441.79,1549.09,1607.62,11902.61,31.2,12.64
